0,1,2,3,4
José María Raygada y Gallo,Militar,Ramón Castilla (2.º gob.),14 de febrero de 1857,13 de mayo de 1858
Manuel Ortiz de Zevallos y García,,,13 de mayo de 1858,13 de julio de 1858
Miguel de San Román y Meza,Militar,,13 de julio de 1858,24 de octubre de 1858
Miguel del Carpio y Melgar,,,1859,9 de junio de 1860
Juan Antonio Pezet Rodríguez,Militar,,9 de junio de 1860,1862
Juan Antonio Ribeyro Estada,,,1862,24 de octubre de 1862
José Gregorio Paz Soldán y Ureta,,Miguel de San Román,24 de octubre de 1862,3 de abril de 1863
Juan Antonio Ribeyro Estada,,Pedro Diez Canseco,10 de abril de 1863,5 de agosto de 1863
Juan Antonio Ribeyro Estada,,Juan Antonio Pezet,5 de agosto de 1863,11 de agosto de 1864
Manuel Costas Arce,,,11 de agosto de 1864,14 de octubre de 1864
José Allende,Militar,,14 de octubre de 1864,3 de abril de 1865
Manuel Ignacio de Vivanco,Militar,,3 de abril de 1865,12 de julio de 1865
Pedro José Calderón,,,12 de julio de 1865,6 de noviembre de 1865
Juan Antonio Ugarteche Posadas[2]​,Militar,Pedro Diez Canseco,26 de septiembre de 1865,6 de noviembre de 1865
Francisco Javier Mariátegui,,,6 de noviembre de 1865,28 de noviembre de 1865
Mariano Ignacio Prado Ochoa[3]​,Militar,Mariano Ignacio Prado (1.º gob.),26 de noviembre de 1865,15 de febrero de 1867
Pedro José Tordoya[4]​,Clérigo,,2 de marzo de 1867,26 de abril de 1867
Pedro Paz Soldán y Ureta,,,3 de junio de 1867,1 de septiembre de 1867
Luis La Puerta[5]​,Militar,,septiembre de 1867,12 de octubre de 1867
Pedro Paz Soldán y Ureta,,,12 de octubre de 1868,8 de enero de 1868
Antonio Arenas Merino,,Pedro Diez Canseco,22 de enero de 1868,7 de febrero de 1868
Antonio Gutiérrez de la Fuente,Militar,,7 de febrero de 1868,2 de agosto de 1868
Pedro Gálvez Egúsquiza,,José Balta,2 de agosto de 1868,13 de abril de 1869
Juan Francisco Balta,Militar,,13 de abril de 1869,1 de agosto de 1871
José Allende,Militar,,2 de agosto de 1871,7 de diciembre de 1871
José Jorge Loayza,,,7 de diciembre de 1871,25 de julio de 1872
Juan Antonio Ribeyro Estada,,Mariano Herencia Zevallos,27 de julio de 1872,2 de agosto de 1872
José Miguel Medina Elera,Militar,Manuel Pardo y Lavalle,2 de agosto de 1872,3 de septiembre de 1873
José Eusebio Sánchez,,,3 de septiembre de 1873,1 de febrero de 1875
Nicolás Freire González,,,1 de febrero de 1875,2 de agosto de 1876
Antonio Arenas Merino,,Mariano Ignacio Prado (2.º gob.),2 de agosto de 1876,26 de agosto de 1876
Teodoro La Rosa,,,26 de agosto de 1876,1 de junio de 1877
Juan Buendía y Noriega,Militar,,4 de junio de 1877,13 de mayo de 1878
José Jorge Loayza,,,18 de junio de 1878,16 de diciembre de 1878
Manuel Yrigoyen Arias,,,17 de diciembre de 1878,19 de mayo de 1879
Manuel de Mendiburu Bonet,Militar,,19 de mayo de 1879,16 de octubre de 1879
Manuel González de la Cotera,Militar,,16 de octubre de 1879,23 de diciembre de 1879
Aurelio Denegri Valega,Partido Civil,Francisco García Calderón Landa,12 de marzo de 1881,18 de julio de 1881
Camilo N. Carrillo Martínez,Marino,,18 de julio de 1881,6 de noviembre de 1881
Aurelio García y García,Marino,Nicolás de Piérola (provisorio),30 de octubre de 1881,28 de noviembre de 1881
Juan Manuel Arbaiza,,Lizardo Montero Flores,4 de enero de 1882,4 de septiembre de 1882
Camilo N. Carrillo Martínez,Marino,,4 de septiembre de 1882,enero de 1883
Manuel Velarde Seoane,Militar,,enero de 1883,abril de 1883
Mariano Nicolás Valcárcel,,,abril de 1883,octubre de 1883
Lorenzo Iglesias Pino de Arce,,Miguel Iglesias,3 de enero de 1883,27 de agosto de 1883
Manuel Antonio Barinaga,,,27 de agosto de 1883,7 de abril de 1884
Mariano Castro Zaldívar,,,7 de abril de 1884,14 de mayo de 1885
José Joaquín Iglesias Pino de Arce,Militar,,14 de mayo de 1885,3 de diciembre de 1885
Antonio Arenas Merino[6]​,,Consejo de Ministros,3 de diciembre de 1885,3 de junio de 1886
Pedro Alejandrino del Solar Gabas,Partido Constitucional,Andrés Avelino Cáceres (1.º gob.),3 de junio de 1886,6 de octubre de 1886
José Nicolás de Araníbar y Llano,,,6 de octubre de 1886,20 de noviembre de 1886
Pedro Alejandrino del Solar Gabas,Partido Constitucional,,22 de noviembre de 1886,22 de agosto de 1887
Mariano Santos Álvarez Villegas,,,22 de agosto de 1887,12 de septiembre de 1887
Carlos María Elías de la Quintana,Partido Constitucional,,12 de septiembre de 1887,5 de octubre de 1887
Raymundo Morales Arias (interino),,,4 de octubre de 1887,8 de noviembre de 1887
Aurelio Denegri Valega,,,8 de noviembre de 1887,8 de marzo de 1889
José Mariano Jiménez Wald,,,8 de marzo de 1889,3 de abril de 1889
Pedro Alejandrino del Solar Gabas,Partido Constitucional,,4 de abril de 1889,10 de febrero de 1890
Manuel Yrigoyen Arias,,,11 de febrero de 1890,10 de agosto de 1890
Mariano Nicolás Valcárcel Salazar,,Remigio Morales Bermúdez,10 de agosto de 1890,24 de julio de 1891
Alberto Elmore Fernández de Córdoba (interino),,,25 de julio de 1891,14 de agosto de 1891
Federico Herrera,Partido Constitucional,,14 de agosto de 1891,24 de agosto de 1891
Justiniano Borgoño Castañeda,Partido Constitucional,,24 de agosto de 1891,14 de octubre de 1891
Federico Herrera (interino),Partido Constitucional,,14 de octubre de 1891,27 de noviembre de 1891
Federico Herrera,Partido Constitucional,,27 de noviembre de 1891,14 de abril de 1892
Juan Ibarra y Ortiz (interino),Militar,,14 de abril de 1892,2 de mayo de 1892
Juan Ibarra y Ortiz,Militar,,2 de mayo de 1892,30 de junio de 1892
Carlos María Elías de la Quintana,Partido Constitucional,,30 de junio de 1892,3 de marzo de 1893
Manuel Velarde Seoane,Partido Constitucional,,3 de marzo de 1893,11 de mayo de 1893
José Mariano Jiménez Wald,,,11 de mayo de 1893,1 de abril de 1894
Baltasar García Urrutia Muro,,Justiniano Borgoño Castañeda,1 de abril de 1894,10 de agosto de 1894
Cesáreo Chacaltana Reyes,,Andrés Avelino Cáceres (2.º gob.),10 de agosto de 1894,16 de noviembre de 1894
Manuel Yrigoyen Arias,Partido Constitucional,,16 de noviembre de 1894,21 de marzo de 1895
Antonio Bentín y La Fuente,Partido Demócrata,Nicolás de Piérola,8 de septiembre de 1895,28 de noviembre de 1895
Manuel Antonio Barinaga,,,30 de noviembre de 1895,5 de agosto de 1896
Manuel Pablo Olaechea Guerrero,Partido Demócrata,,8 de agosto de 1896,3 de noviembre de 1897
Alejandro López de Romaña Alvizuri,Partido Demócrata,,25 de noviembre de 1897,23 de diciembre de 1897
Enrique de la Riva Agüero,,,23 de diciembre de 1897,13 de mayo de 1898
José Jorge Loayza,,,16 de mayo de 1898,8 de septiembre de 1899
